storage_id,storage_name,city,crop_supported,capacity_tons,available_tons,price_per_ton_per_day
85,Nagpur GrainDepot,Nagpur,Maize,780,450,21
86,Indore GrainLock,Indore,Maize,770,455,21
87,Indore OnionVault,Indore,Onion,430,180,33
88,Indore AppleSafe,Indore,Apple,350,165,46
89,Bhopal SoyCore,Bhopal,Soybean,610,335,22
90,Bhopal GrainCore,Bhopal,Maize,750,435,21
91,Kolhapur OnionStore,Kolhapur,Onion,410,170,33
92,Kolhapur GrainHub,Kolhapur,Maize,760,445,21
93,Kolhapur PotatoCore,Kolhapur,Potato,450,205,30
94,Aurangabad OnionVault,Aurangabad,Onion,420,175,33
95,Aurangabad AppleSafe,Aurangabad,Apple,340,155,46
96,Aurangabad CitrusNest,Aurangabad,Orange,360,160,38
97,Mumbai SoySafe,Mumbai,Soybean,630,345,24
98,Mumbai GrainDepot,Mumbai,Maize,790,470,21
99,Mumbai AppleVault,Mumbai,Apple,360,170,48
100,Ahmedabad SoyCore,Ahmedabad,Soybean,620,335,23
101,Ahmedabad GrainSafe,Ahmedabad,Wheat,870,520,18
102,Ahmedabad AppleNest,Ahmedabad,Apple,340,155,46
103,Jaipur GrainLock,Jaipur,Wheat,890,550,18
104,Jaipur SoyVault,Jaipur,Soybean,620,340,23
105,Pune SoyNest,Pune,Soybean,610,330,23
106,Pune AppleVault,Pune,Apple,350,165,47
107,Nagpur GrainCore,Nagpur,Wheat,860,515,18
108,Nagpur SoyNest,Nagpur,Soybean,620,335,22
109,Indore GrainSafe2,Indore,Wheat,880,540,18
110,Bhopal GrainLock,Bhopal,Wheat,870,530,18
111,Kolhapur AppleNest,Kolhapur,Apple,340,160,47
112,Kolhapur SoyVault,Kolhapur,Soybean,610,330,22
113,Aurangabad SoyCore,Aurangabad,Soybean,600,320,23
114,Aurangabad GrainSafe2,Aurangabad,Wheat,840,510,18
115,Mumbai GrainVault2,Mumbai,Wheat,900,580,18
116,Mumbai SoyCore,Mumbai,Soybean,640,350,24
117,Ahmedabad GrainVault2,Ahmedabad,Wheat,860,520,18
118,Ahmedabad SoyNest,Ahmedabad,Soybean,620,340,23
119,Jaipur GrainDepot2,Jaipur,Maize,780,460,21
120,Jaipur PotatoVault,Jaipur,Potato,460,210,31
121,Pune GrainDepot2,Pune,Maize,770,450,21
122,Pune OnionVault,Pune,Onion,430,185,33
123,Nagpur AppleVault,Nagpur,Apple,350,165,47
124,Nagpur PotatoCore,Nagpur,Potato,450,205,30
125,Indore SoyVault,Indore,Soybean,630,350,23
126,Indore GrainDepot2,Indore,Maize,780,455,21
127,Bhopal AppleVault,Bhopal,Apple,340,160,46
128,Bhopal PotatoVault,Bhopal,Potato,460,210,31
129,Kolhapur GrainDepot2,Kolhapur,Wheat,840,510,18
130,Kolhapur CitrusHold2,Kolhapur,Orange,360,165,38
131,Aurangabad PotatoVault,Aurangabad,Potato,450,205,30
132,Aurangabad GrainCore2,Aurangabad,Maize,760,445,21
133,Mumbai OnionVault2,Mumbai,Onion,520,215,36
134,Mumbai CitrusNest,Mumbai,Orange,390,175,39
135,Ahmedabad OnionVault2,Ahmedabad,Onion,420,175,33
136,Ahmedabad PotatoNest,Ahmedabad,Potato,460,210,31
137,Jaipur AppleVault2,Jaipur,Apple,350,165,47
138,Jaipur CitrusSafe2,Jaipur,Orange,360,165,38
139,Pune PotatoVault,Pune,Potato,450,205,30
140,Pune CitrusCore,Pune,Orange,360,165,38
141,Nagpur OnionVault2,Nagpur,Onion,420,175,34
142,Nagpur GrainDepot2,Nagpur,Maize,770,450,21
143,Indore CitrusNest,Indore,Orange,360,165,38
144,Indore PotatoNest,Indore,Potato,450,205,30

